eid,location,start_day,start_time,end_time,total_time,shift_title,event_id
3182217,"Houston, TX",3/21/19,3:50 PM,9:17 PM,5.45,The Woodlands Mall ,279.HOU0319
3001652,"Houston, TX",3/22/19,11:33 AM,4:43 PM,5.16,The Woodlands Mall ,279.HOU0319
2990682,"Houston, TX",3/22/19,3:28 PM,9:07 PM,5.65,The Woodlands Mall ,279.HOU0319
3184467,"Houston, TX",3/23/19,9:58 AM,3:51 PM,5.89,The Woodlands Mall ,279.HOU0319
3186103,"Houston, TX",3/23/19,3:26 PM,9:03 PM,5.62,The Woodlands Mall ,279.HOU0319
938064,"Houston, TX",3/24/19,11:55 AM,6:53 PM,6.97,The Woodlands Mall ,279.HOU0319
3193177,"Houston, TX",3/24/19,12:02 PM,6:33 PM,6.52,The Woodlands Mall ,279.HOU0319
2104745,"Houston, TX",3/14/19,3:30 PM,9:14 PM,5.72,Willowbrook Mall ,279.HOU0319
3182217,"Houston, TX",3/14/19,3:30 PM,9:14 PM,5.72,Willowbrook Mall ,279.HOU0319
938064,"Houston, TX",3/15/19,9:57 AM,4:22 PM,6.42,Willowbrook Mall ,279.HOU0319
3001652,"Houston, TX",3/15/19,3:27 PM,9:24 PM,5.96,Willowbrook Mall ,279.HOU0319
3184467,"Houston, TX",3/16/19,9:59 AM,4:01 PM,6.02,Willowbrook Mall ,279.HOU0319
3042051,"Portland, OR",3/14/19,9:58 AM,3:48 PM,5.84,Clackamas ,279.PDX0319
3042051,"Portland, OR",3/14/19,3:48 PM,9:56 PM,6.12,Clackamas ,279.PDX0319
2978167,"Portland, OR",3/15/19,3:25 PM,9:48 PM,6.39,Clackamas ,279.PDX0319
3070772,"Portland, OR",3/16/19,3:25 PM,9:45 PM,6.34,Clackamas ,279.PDX0319
3002523,"Portland, OR",3/17/19,10:30 AM,3:07 PM,4.62,Clackamas ,279.PDX0319
3042051,"Portland, OR",3/28/19,9:40 AM,3:18 PM,5.63,Clackamas ,279.PDX0319
3002523,"Portland, OR",3/28/19,3:27 PM,9:12 PM,5.74,Clackamas ,279.PDX0319
3070772,"Portland, OR",3/29/19,9:25 AM,3:47 PM,6.37,Clackamas ,279.PDX0319
3172184,"Portland, OR",3/30/19,9:30 AM,3:30 PM,6.0,Clackamas ,279.PDX0319
2978167,"Portland, OR",3/30/19,3:48 PM,9:33 PM,5.74,Clackamas ,279.PDX0319
3204635,"Portland, OR",3/31/19,1:27 PM,6:59 PM,5.53,Clackamas ,279.PDX0319
3204635,"Portland, OR",3/31/19,6:59 PM,8:58 PM,1.97,Clackamas ,279.PDX0319
3042051,"Portland, OR",3/7/19,2:58 PM,7:40 PM,4.7,Pioneer Place ,279.PDX0319
2978167,"Portland, OR",3/8/19,2:57 PM,7:55 PM,4.97,Pioneer Place ,279.PDX0319
3070772,"Portland, OR",3/21/19,9:25 AM,3:16 PM,5.84,Pioneer Place ,279.PDX0319
3042051,"Portland, OR",3/21/19,10:00 AM,12:08 PM,2.14,Pioneer Place ,279.PDX0319
3002523,"Portland, OR",3/21/19,2:55 PM,8:12 PM,5.28,Pioneer Place ,279.PDX0319
3002523,"Portland, OR",3/24/19,10:29 AM,5:57 PM,7.46,Pioneer Place ,279.PDX0319
3111533,"Atlanta, GA",3/15/19,9:36 AM,10:22 PM,12.78,Nashville Home & Remodeling Expo ,280.ATL0319
3078081,"Atlanta, GA",3/15/19,9:36 AM,10:22 PM,12.78,Nashville Home & Remodeling Expo ,280.ATL0319
3078081,"Atlanta, GA",3/16/19,9:31 AM,10:14 PM,12.72,Nashville Home & Remodeling Expo ,280.ATL0319
3111533,"Atlanta, GA",3/16/19,9:48 AM,10:14 PM,12.43,Nashville Home & Remodeling Expo ,280.ATL0319
3111533,"Atlanta, GA",3/17/19,9:38 AM,6:30 PM,8.87,Nashville Home & Remodeling Expo ,280.ATL0319
3078081,"Atlanta, GA",3/17/19,9:38 AM,6:30 PM,8.87,Nashville Home & Remodeling Expo ,280.ATL0319
3019982,"Dallas, TX",3/22/19,10:55 AM,9:03 PM,10.14,OKC Home and Garden Show ,280.DFW0319
3189699,"Dallas, TX",3/22/19,10:56 AM,9:03 PM,10.11,OKC Home and Garden Show ,280.DFW0319
3189699,"Dallas, TX",3/23/19,9:50 AM,9:04 PM,11.23,OKC Home and Garden Show ,280.DFW0319
3019982,"Dallas, TX",3/23/19,10:04 AM,9:04 PM,11.0,OKC Home and Garden Show ,280.DFW0319
3019982,"Dallas, TX",3/24/19,9:53 AM,6:15 PM,8.37,OKC Home and Garden Show ,280.DFW0319
3189699,"Dallas, TX",3/24/19,9:53 AM,6:15 PM,8.36,OKC Home and Garden Show ,280.DFW0319
3055318,"Indianapolis, IN",3/9/19,8:55 AM,7:35 PM,10.67,Indiana Flower & Patio Show ,280.IND0319
3078104,"Indianapolis, IN",3/9/19,1:04 PM,8:01 PM,6.95,Indiana Flower & Patio Show ,280.IND0319
3055318,"Indianapolis, IN",3/10/19,9:25 AM,5:16 PM,7.85,Indiana Flower & Patio Show ,280.IND0319
3078104,"Indianapolis, IN",3/10/19,9:25 AM,10:31 AM,1.1,Indiana Flower & Patio Show ,280.IND0319
3078104,"Indianapolis, IN",3/11/19,9:25 AM,8:08 PM,10.71,Indiana Flower & Patio Show ,280.IND0319
3197165,"Indianapolis, IN",3/12/19,9:26 AM,3:10 PM,5.73,Indiana Flower & Patio Show ,280.IND0319
3055318,"Indianapolis, IN",3/12/19,9:26 AM,3:07 PM,5.68,Indiana Flower & Patio Show ,280.IND0319
3055318,"Indianapolis, IN",3/12/19,3:07 PM,8:15 PM,5.14,Indiana Flower & Patio Show ,280.IND0319
3078104,"Indianapolis, IN",3/13/19,9:25 AM,3:05 PM,5.68,Indiana Flower & Patio Show ,280.IND0319
3055318,"Indianapolis, IN",3/13/19,3:00 PM,7:06 PM,4.1,Indiana Flower & Patio Show ,280.IND0319
