date_sign_up,customer_id,initial_sales_order_nr,customer_name,first_product_sku,first_product_name,voucher_code
1/23/2019 13:42,14127257,257847973,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,NYC005NEW
1/23/2019 13:54,14127535,216547973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,PHX027TRI
1/23/2019 14:00,14127624,269147973,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,JAK014EVT
1/23/2019 14:03,14127740,251147973,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,CLE030MAL
1/23/2019 14:10,14127924,235347973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,COL027FIT
1/23/2019 14:13,14127909,274427973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,JAK018EVT
1/23/2019 14:18,14128045,243427973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,PHX012TRI
1/23/2019 14:20,2620932,256227973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,IND041MAL
1/23/2019 14:25,14128258,264627973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,DFW039FIT
1/23/2019 14:31,14128401,294927973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,ATL046FIT
1/23/2019 14:31,14128363,242927973,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,COL042FIT
1/23/2019 14:32,14128389,249927973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,ATL020RES
1/23/2019 14:33,14128369,227927973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,JAK008FIT
1/23/2019 14:34,14128434,267927973,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,ATL050FIT
1/23/2019 14:37,14128510,226827973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,AUT007FIT
1/23/2019 14:38,14128511,248827973,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,NYC003NEW
1/23/2019 14:48,14128763,283727973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,ATL020RES
1/23/2019 14:48,14128790,274527973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,IND005EVT
1/23/2019 14:49,14128781,216527973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,ATL052FIT
1/23/2019 15:00,14122416,244327973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,JAK042FIT
1/23/2019 15:01,14129023,242327973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,DFW039FIT
1/23/2019 15:03,14129118,219327973,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,ATL032RES
1/23/2019 15:06,14129192,231327973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,IND047FIT
1/23/2019 15:10,14129205,271467973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,DEN071MAL
1/23/2019 15:20,14129498,289667973,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,DEN018EVT
1/23/2019 15:22,14129565,247667973,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,COL027FIT
1/23/2019 15:26,14129666,248967973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,COL042FIT
1/23/2019 15:30,14129662,244867973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,ATL056RES
1/23/2019 15:32,14129756,294867973,,US-CP-3-4-0,Classic - 3 meals per week for 4 people,PHX012TRI
1/23/2019 15:32,14129793,299867973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,NYC005NEW
1/23/2019 15:34,14129833,287867973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,JAK018EVT
1/23/2019 15:36,14129874,273867973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,NYC004NEW
1/23/2019 15:36,14129936,226767973,,US-CP-3-4-0,Classic - 3 meals per week for 4 people,ATL018FIT
1/23/2019 15:37,14129879,228767973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,JAK037MAL
1/23/2019 15:43,14130007,258567973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,JAK014EVT
1/23/2019 15:45,14130152,221567973,,US-CP-3-4-0,Classic - 3 meals per week for 4 people,PHX020TRI
1/23/2019 15:47,14130179,246167973,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,COL014FIT
1/23/2019 15:55,14130370,251367973,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,IND005EVT
1/23/2019 15:56,14130388,244497973,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,CLE023MAL
1/23/2019 15:58,14130476,276497973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,DFW015EVT
1/23/2019 15:59,14130454,216497973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,PHX026TRI
1/23/2019 15:59,14130544,269497973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,SNA003FIT
1/23/2019 15:59,14130540,289497973,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,HSN007FIT
1/23/2019 16:05,14130648,219297973,,US-CP-4-2-0,Classic - 4 meals per week for 2 people,DFW039FIT
1/23/2019 16:06,7996890,298297973,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,COL019FIT
1/23/2019 16:06,14130702,258297973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,AUT021EVT
1/23/2019 16:08,14130768,275297973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,ATL046FIT
1/23/2019 16:11,14130871,229697973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,JAK033EVT
1/23/2019 16:15,14130993,246997973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,DEN062EVT
1/23/2019 16:15,14130992,226997973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,COL014FIT
1/23/2019 16:16,14130997,269997973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,SNA003FIT
1/23/2019 16:16,14131007,279997973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,ATL046FIT
1/23/2019 16:17,14131033,278997973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,DEN022EVT
1/23/2019 16:24,14131171,241897973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,AUT035EVT
1/23/2019 16:26,13781853,266797973,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,SEA069EVT
1/23/2019 16:29,14131320,238797973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,JAK018EVT
1/23/2019 16:43,14131692,254397973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,DEN030FIT
1/23/2019 16:45,14131734,256397973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,SEA034MAL
1/23/2019 16:47,14131818,238397973,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,DFW039FIT
1/23/2019 16:47,14131752,277397973,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,JAK018EVT
1/23/2019 16:49,14131867,263397973,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,SNA003FIT
1/23/2019 16:49,14131878,214487973,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,PHX020TRI
1/23/2019 16:50,14131905,212487973,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,ATL018FIT
1/23/2019 16:56,14132015,276287973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,AUT007FIT
1/23/2019 16:58,14132032,287287973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,DEN022EVT
1/23/2019 17:00,14131971,224687973,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,ATL018FIT
1/23/2019 17:05,2344711,276687973,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,PLN027RES
1/23/2019 17:07,14132319,266987973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,NYC005NEW
1/23/2019 17:09,14132426,248987973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,AUT046FIT
1/23/2019 17:16,14132515,287887973,,US-CP-4-2-0,Classic - 4 meals per week for 2 people,NYC004NEW
1/23/2019 17:19,14132617,215887973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,SNA003FIT
1/23/2019 17:19,14132631,222787973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,DEN090FIT
1/23/2019 17:24,2850864,255787973,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,COL027FIT
1/23/2019 17:23,14132805,223787973,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,PHX034TRI
1/23/2019 17:24,14132836,242587973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,NYC003NEW
1/23/2019 17:25,14132641,252587973,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,AUT027FIT
1/23/2019 17:26,14132845,288587973,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,SEA022FIT
1/23/2019 17:27,11921141,277587973,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,IND041RES
1/23/2019 17:27,14132898,217587973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,DEN018EVT
1/23/2019 17:30,14132940,231587973,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,JAK040MAL
1/23/2019 17:32,14133067,278187973,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,SNA003FIT
1/23/2019 17:32,14133066,258187973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,AUT027FIT
1/23/2019 17:34,14133102,295187973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,DEN013EVT
1/23/2019 17:34,14133079,211187973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,AUT046FIT
1/23/2019 17:34,14133121,243187973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,DEN030FIT
1/23/2019 17:35,14133159,292387973,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,PHX015TRI
